record_id,date,source_domain,url,matched_terms,page_title,page_timestamp,tone,locations,themes_short
20200101000000-124,20200101000000,hulldailymail.co.uk,https://www.hulldailymail.co.uk/news/uk-world-news/euromillions-results-new-years-eve-3693841,lottery,EuroMillions results live for New Year's Eve: Winning National Lottery and Thunderball numbers,,2.59067357512953,,MANMADE_DISASTER_IMPLIED;MEDIA_SOCIAL;CRISISLEX_CRISISLEXREC;
20200101000000-183,20200101000000,americanpress.com,https://www.americanpress.com/news/state/editorial-roundup-louisiana/article_3c3eb5de-5e70-559b-834e-c6fc30d3049b.html,casino,Editorial Roundup: Louisiana,20191231212200,0.451467268623025,"Lafourche, Louisiana, United States; Lafourche, Louisiana, United States; Lafourche, Louisiana, United States; Lafourche, Louisiana, United States; New Orleans, Louisiana, United States",MEDIA_MSM;TAX_FNCACT;TAX_FNCACT_COURIER;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET
20200101000000-196,20200101000000,napavalleyregister.com,https://napavalleyregister.com/entertainment/movies/what-oscar-nominations-do-these-best-picture-contenders-need-in/collection_7a4f06b1-67f7-5009-a9a1-96cb892f5158.html,slot,What Oscar nominations do these 6 best picture contenders need in order to win?,20191231193000,4.80427046263345,"Toronto, Ontario, Canada; Los Angeles, California, United States; Irishman; Irishman; Irishman",TAX_FNCACT;TAX_FNCACT_NOMINEES;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_ACTOR;ELECTION;UNREST_BELLIGERENT;TAX_FNCACT_BOSS;TAX_FNCACT_DRIVER
20200101000000-285,20200101000000,jg-tc.com,https://jg-tc.com/entertainment/movies/what-oscar-nominations-do-these-best-picture-contenders-need-in/collection_6f6eedef-efb8-5a3a-9ca1-93bfa7e660c5.html,slot,What Oscar nominations do these 6 best picture contenders need in order to win?,20191231193000,4.80427046263345,"Toronto, Ontario, Canada; Los Angeles, California, United States; Irishman; Irishman; Irishman",TAX_FNCACT;TAX_FNCACT_NOMINEES;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_ACTOR;ELECTION;UNREST_BELLIGERENT;TAX_FNCACT_BOSS;TAX_FNCACT_DRIVER
20200101000000-309,20200101000000,6abc.com,https://6abc.com/community-events/philadelphia-rings-in-2020-with-fireworks-over-the-delaware-river/5802393/,casino,Philly begins ringing in 2020 with early fireworks over the Delaware River,,3.55029585798817,"Philadelphia, Pennsylvania, United States; Philadelphia, Pennsylvania, United States; Philadelphia, Pennsylvania, United States; Philadelphia, Pennsylvania, United States; New Jersey, United States",UNGP_FORESTS_RIVERS_OCEANS;USPEC_POLITICS_GENERAL1;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_RABBIT;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_TEA_PARTY;TAX_FNCACT;TAX_FNCACT_QUEEN
20200101000000-390,20200101000000,cfox.com,https://cfox.com/news/6341944/top-b-c-politics-stories-to-watch-for-in-2020/,lottery,Top B.C. politics stories to watch for in 2020,,-0.682885189927443,"Nanaimo, British Columbia, Canada; California, United States; Langley, British Columbia, Canada; Vancouver, British Columbia, Canada; Vancouver, British Columbia, Canada",EPU_POLICY;EPU_POLICY_POLITICAL;USPEC_POLITICS_GENERAL1;WB_2299_PIPELINES;WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS;WB_507_ENERGY_AND_EXTRACTIVES;WB_548_PPP_IN_OIL_AND_GAS;GENERAL_GOVERNMENT
20200101000000-500,20200101000000,parttimepoker.com,https://www.parttimepoker.com/mpn-ucop-2020,poker,MPN UCOP Set To Go Out With 2020 Finale - Part Time Poker,,2.06327372764787,,
20200101000000-654,20200101000000,parttimepoker.com,https://www.parttimepoker.com/triton-poker-2020-teaser-trailer,gambling;poker,Teaser Trailer For 2020 Triton Poker Super High Roller Series Released,,1.47874306839187,"Springfield, Fife, United Kingdom; Montenegro; London, London, City Of, United Kingdom",
20200101000000-847,20200101000000,alternativemagazineonline.co.uk,https://alternativemagazineonline.co.uk/2019/12/31/game-review-death-stranding-playstation-4/,casino,GAME REVIEW &#x2013; Death Stranding (PlayStation 4),,-5.05216913783635,Japanese; America; America; America; America,
20200101000000-878,20200101000000,chron.com,https://www.chron.com/news/crime/article/Casino-robbery-suspect-threatened-to-set-fire-to-14942411.php,casino,Casino robbery suspect threatened to set fire to cashier,20191231230900,-10.9243697478992,,TAX_ETHNICITY;TAX_ETHNICITY_SIOUX;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_SIOUX;TAX_FNCACT;TAX_FNCACT_MAN;CRIME_COMMON_ROBBERY;TAX_FNCACT_CASHIER
20200101000000-1072,20200101000000,tdn.com,https://tdn.com/entertainment/movies/what-oscar-nominations-do-these-best-picture-contenders-need-in/collection_e8815cf0-c5b3-5af5-b403-bd79f0bee56c.html,slot,What Oscar nominations do these 6 best picture contenders need in order to win?,20191231193000,4.80427046263345,"Toronto, Ontario, Canada; Los Angeles, California, United States; Irishman; Irishman; Irishman",TAX_FNCACT;TAX_FNCACT_NOMINEES;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_ACTOR;ELECTION;UNREST_BELLIGERENT;TAX_FNCACT_BOSS;TAX_FNCACT_DRIVER
